h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30,h31,h32,h33,h34,h35,h36,h37,h38,h39,h40,h41,h42,h43,h44,h45,h46,h47,h48,label
0,0,0,0,0.34297,98.15,1.5071,0,0,0,0,0,0,0,3.2806,30.899,57.527,8.2929,0,0,0,0,0,0,0,0,10.631,76.064,13.305,0,0,0,0,0,0,0.36,0.28,0.36,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,97.754,2.2458,0,0,0,0,0,0,0,6.4107,26.369,48.621,18.599,0,0,0,0,0,0,0,0,14.121,50.48,35.398,0,0,0,0,0,0,0.78125,0.1875,0.03125,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,98.659,1.3411,0,0,0,0,0,0,0,1.0221,17.509,71.559,9.9097,0,0,0,0,0,0,0,0,14.563,75.5,9.9374,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1.0009,96.548,2.4509,0,0,0,0,0,0,0,3.9166,26.8,53.094,16.189,0,0,0,0,0,0,0,0,11.375,57.411,30.489,0.72411,0,0,0,0,0,0.98,0.02,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,94.241,5.7585,0,0,0,0,0,0,0,4.5169,25.746,53.811,15.926,0,0,0,0,0,0,0,0,16.356,68.029,15.614,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,94.435,5.2541,0,0.31128,0,0,0,0,0,2.0237,14.78,63.142,19.743,0.31128,0,0,0,0,0,0,0,34.744,59.485,5.4595,0,0,0.31128,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0.26108,96.424,3.3146,0,0,0,0,0,0,0,2.661,16.817,67.28,13.242,0,0,0,0,0,0,0,0,17.717,69.593,12.415,0.27482,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0.18081,0.36162,0,0,94.447,0.95151,1.2292,2.1745,0.65492,0,0.18081,0,0.52419,0.80113,7.6393,67.743,19.871,1.4695,0.54243,0.52419,0.705,0,0.18081,0.36162,0,25.708,68.182,1.3961,0.2933,0.65492,2.1745,1.0484,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,97.295,0,0,1.756,0.94943,0,0,0,0,0.52477,4.8964,66.829,25.994,1.3314,0,0.42466,0,0,0,0,0,30.348,65.473,0.94943,0.94943,0.52477,1.756,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0.2638,1.1289,2.062,0.22985,0.49365,85.953,0,2.5234,3.9015,3.1803,0.2638,0.60995,1.3271,1.042,2.6227,4.5718,65.229,16.744,1.4937,2.3235,1.7725,2.2642,0.2638,1.6479,1.4837,0.78278,22.417,59.119,3.5577,2.488,2.4838,3.8422,1.9134,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,3.9493,95.074,0.97655,0,0,0,0,0,0,0,7.0447,22.527,55.334,15.094,0,0,0,0,0,0,0,0,5.3469,59.208,33.198,2.2474,0,0,0,0,0,0.1,0.23333,0.66667,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,6.1557,93.459,0.3854,0,0,0,0,0,0,0,5.2453,21.713,52.971,17.96,2.1106,0,0,0,0,0,0,0,5.0998,62.136,32.241,0.52324,0,0,0,0,0,0.083333,0.33333,0.58333,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,5.6772,94.323,0,0,0,0,0,0,0,0,2.7181,16.285,59.81,19.947,1.2394,0,0,0,0,0,0,0,2.5711,69.34,25.645,2.4439,0,0,0,0,0,0.064516,0.3871,0.54839,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,1.6448,96.542,1.8133,0,0,0,0,0,0,0,3.7199,19.624,64.364,12.292,0,0,0,0,0,0,0,0,10.252,69.509,18.931,1.3077,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.82246,0,5.7956,91.848,0.23701,1.2967,0,0,0,0.47424,0,0,5.7956,18.908,56.68,13.213,3.9809,0,0,0.94848,0,0.82246,0,0,3.0268,57.41,35.192,2.2511,0,0.47424,0.82246,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.43578,0,2.5008,96.628,0,0.43578,0,0,0,0,0,0,1.9144,13.896,70.143,7.4046,6.6419,0,0,0,0,0.43578,0,0,0.43578,71.274,27.419,0,0,0,0.43578,0,0,0,0.31034,0.68966,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,10.592,75.159,13.16,1.0882,0,0,0,0,0,0,0,1.8281,77.98,20.192,0,0,0,0,0,0,0.058824,0.14706,0.79412,0,0,1,0,0,0,0,1,0,0,0
0,0,0.97254,0,1.7411,95.329,0.25167,1.4536,0.25167,0,0,0.48101,0.25167,0,1.1781,8.2463,70.772,17.183,1.1781,0.25167,0,0.45868,0,0.97254,0.25167,0,5.8906,71.993,19.187,0,0,0.73268,0.97254,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.58234,0,0,97.455,0.46004,1.0424,0.46004,0,0,0.46004,0.46004,0,0,10.12,76.377,10.809,1.3138,0.46004,0,0,0,0.58234,0.46004,0,1.8749,69.603,25.977,0,0,0.92008,0.58234,0,0,0.97222,0.027778,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0.94965,0.24862,0.48475,92.831,1.3457,2.2704,1.8697,0,0,1.3582,1.8304,0.73336,0,6.6708,81.307,5.8447,0.66163,1.1096,0,0.48475,0.49723,0.93716,1.1096,0.48475,0.70103,81.252,10.879,0,0,3.1637,0.97644,0,0,0.90769,0.092308,0,0,0,1,0,0,0,0,1,0,0,0
